origin,dest,count,average_delay
DFW,SMF,1056,32.38871473
DFW,SLC,1560,30.59659969
DFW,BWI,1182,31.26059322
DFW,OKC,1417,34.95113438
DFW,TUS,1728,36.84310345
DFW,PSP,532,35.27830189
DFW,ICT,163,27.98360656
DFW,RNO,621,30.34433962
DFW,JFK,452,37.24766355
DFW,OGG,421,51.60899654
DFW,ONT,1130,35.94949495
DFW,TUL,1617,40.25
DFW,ABQ,1469,35.1171875
DFW,MSP,1565,32.0552677
DFW,HNL,567,54.16120219
DFW,EGE,346,38.41830065
DFW,FAT,494,30.47530864
DFW,SDF,235,29.18987342
DFW,ORF,504,29.42512077
DFW,HOU,161,31.44262295
DFW,SJU,457,39.57360406
DFW,GUC,94,30.28125
DFW,ELP,1071,36.22911051
DFW,DSM,485,32.49484536
DFW,MKE,771,35.62753036
DFW,BHM,221,31.45833333
DFW,LIT,8,42.875
DFW,JAC,337,42.06837607
DFW,MTJ,13,40.6
DFW,PNS,308,43.35238095
DFW,LBB,246,47.28571429
DFW,XNA,13,9
DFW,ANC,119,34.51724138
BOS,MIA,1852,32.97222222
BOS,DFW,1813,30.80073801
BOS,JFK,1048,43.27071823
BOS,LAX,1086,29.71084337
BOS,ORD,2348,35.39401496
BOS,CLT,820,25.98709677
BOS,PHL,1070,28.47686833
BOS,LGA,1073,29.75800712
BOS,DCA,1264,26.16137566
BOS,PHX,309,19.53703704
IAH,MIA,1314,33.14500942
IAH,DFW,1989,45.14583333
IAH,CLT,865,34.69907407
IAH,PHX,392,29.54385965
IAH,PHL,316,29.51136364
SAT,DFW,3794,41.10059172
SAT,MIA,161,19.81818182
SAT,ORD,66,40.66666667
SAT,CLT,77,51.1875
SAT,PHL,75,12.77272727
JFK,MIA,1864,43.93958869
JFK,LAS,533,40.52150538
JFK,LAX,3093,36.30828729
JFK,MCO,539,33.2327044
JFK,BOS,1049,43.90692124
JFK,SFO,1210,38.20444444
JFK,ORD,482,43.16470588
JFK,STT,219,69.08108108
JFK,SJU,506,59.65384615
JFK,DFW,452,43.928
JFK,DCA,263,36.44615385
JFK,AUS,263,55.52
JFK,SAN,266,43.04938272
JFK,EGE,90,114.6585366
JFK,SEA,268,54
JFK,CLT,692,36.46788991
JFK,PHX,440,36.25
AUS,DFW,3746,36.71468927
AUS,LAX,1029,38.40255591
AUS,JFK,261,48.68055556
AUS,ORD,824,45.51271186
AUS,MIA,160,16.12727273
AUS,PHL,120,29.1
AUS,CLT,125,26.97560976
AUS,PHX,78,17.3125
EWR,MIA,1061,38.72929936
EWR,DFW,1506,41.73245614
EWR,PHX,320,48.96491228
EWR,ORD,290,59.48387097
EWR,JFK,0,0
